33.000,15,0.110,3.200,60.000,1.000,1.400,7.40,45.50111602,
20,6,0.077,2,161,4.4,2.3,8.1,71.59053948,
16.000,8,0.12,3.5,67,2,1.2,7.4,84.74069988,
15,150,0.093,0.89,76,2.4,2.1,7.4,71.4623480834195,
21,69,0.079,4,148,3,1.4,7.8,63.8031942276319,
18,690,0.047,5.3,0.3,5.6,4.3,7.3,34.6123691537093,







